title,organiser,blurb,description,guid,activity_or_event,url,is_free,price_display_teaser,price_display,price,min_price,max_price,age_group_display,min_age,max_age,datetime_display_teaser,datetime_display,start_datetime,end_datetime,venue_name,label_tag,Keyword_tag,full_address,categories,images,id,longitude,latitude,district,area,checked,source_file
Doodly Woods,ZOOMOOV,Craft playground with unlimited access to materials.,"Doodly Woods is where characters from the Land Of ZOOMOOV unleash their creativity to create crafts and toys together, out of materials found in the beautiful forest. Engage in craft making and doodling activities with anything and everything you can find within! With endless trails of crafts, it is a perfect place to stretch your imagination, indulge your creativity & have unrestricted fun. Doodly Woods is a craft playground with unlimited access to all craft materials, for kids between 3-10 years old, to engage in free-play art and craft activities. Developed around the concept of 3 “Cs” – Creativity, Child-led play and Craft all you want. Doodly Woods focuses on encouraging creativity – an important life skills that leads to developing critical thinking skills, innovation and adapting to changes.",https://zoomoov.com/doodly-woods/,activity,https://zoomoov.com/doodly-woods/,False,From $5,Price differs according to chosen craft,0.0,0.0,0.0,3 to 10 years old,3.0,10.0,Available daily,"Available daily, 11am – 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Doodly Woods,,"craft , art ",Jurong Gateway Rd,Indoor Playground,"[{""url"": """", ""original_url"": ""https://zoomoov.com/doodly-woods/"", ""filename"": ""Doodly_Woods_1.jpg"", ""local_path"": ""events_output/indoor_add/images/Doodly_Woods_1.jpg"", ""source_credit"": ""zoomoov""}]",436.0,103.7426211,1.3343652,Jurong East,West Region,True,dollywoods.json
Giggle Jungle Indoor Playground City Square Mall,giggle.jungle,New generation of Indoor playground for all events.,"Giggle Jungle is a new generation indoor playground suitable for birthday parties, school trips and private events. Located at City Square Mall, it offers a fun and safe environment for children to play and explore. Contact them via WhatsApp for bookings and inquiries. A great place for kids to have fun and parents to relax while the children are playing in a safe environment. The playground is designed to cater to various age groups, ensuring that every child has something to enjoy. It is also a great venue for hosting birthday parties and other special events.",https://www.instagram.com/giggle.jungle/,activity,https://www.instagram.com/giggle.jungle/,False,From $30,"$30 (1 hour), $35 (2 hours), $45 (unlimited) for 1 adult + 1 child (Free for child below 1 year old)",20.0,30.0,45.0,14 years old and below,0.0,14.0,Available daily,"Weekdays: 11am – 9pm, Weekends: 10am – 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,City Square Mall,,"safari, jungle, soft play, ballpit, slide","180 Kitchener Rd, Singapore 208539",Indoor Playground,"[{""url"": """", ""original_url"": ""https://www.instagram.com/giggle.jungle/"", ""filename"": ""Giggle_Jungle_Indoor_Playground_City_Square_Mall_1.jpg"", ""local_path"": ""events_output/indoor_add/images/Giggle_Jungle_Indoor_Playground_City_Square_Mall_1.jpg"", ""source_credit"": ""gigglejungle""}, {""url"": ""https://instagram.fsin15-1.fna.fbcdn.net/v/t39.30808-6/554093794_122094196659048710_4474526858038979031_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QE5BbxQTbCeyqVeNfW1fRv4CAuwx9SmoCwqz3A6Dht7WB_Uigtfyj1FcOt6txUlYxQ&_nc_ohc=TqRqKAo31zgQ7kNvwGZXs1o&_nc_gid=7AJfr9xLprkcUoF2RAOFyA&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_Aff3UV88W-7QTR9NxNbCq53cE_0ydMjsC2y1NijtEOkXHQ&oe=68F4F813&_nc_sid=8b3546"", ""original_url"": ""https://instagram.fsin15-1.fna.fbcdn.net/v/t39.30808-6/554093794_122094196659048710_4474526858038979031_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QE5BbxQTbCeyqVeNfW1fRv4CAuwx9SmoCwqz3A6Dht7WB_Uigtfyj1FcOt6txUlYxQ&_nc_ohc=TqRqKAo31zgQ7kNvwGZXs1o&_nc_gid=7AJfr9xLprkcUoF2RAOFyA&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_Aff3UV88W-7QTR9NxNbCq53cE_0ydMjsC2y1NijtEOkXHQ&oe=68F4F813&_nc_sid=8b3546"", ""filename"": ""Giggle_Jungle_Indoor_Playground_City_Square_Mall_2.jpg"", ""local_path"": ""events_output/indoor_add/images/Giggle_Jungle_Indoor_Playground_City_Square_Mall_2.jpg"", ""source_credit"": ""giggle.jungle""}, {""url"": """", ""original_url"": ""https://www.instagram.com/giggle.jungle/"", ""filename"": ""Giggle_Jungle_Indoor_Playground_City_Square_Mall_3.jpg"", ""local_path"": ""events_output/indoor_add/images/Giggle_Jungle_Indoor_Playground_City_Square_Mall_3.jpg"", ""source_credit"": ""gigglejungle""}]",441.0,103.85616080000001,1.3114516,Kallang,Central Region,True,giggle_jungle.json
Jolly Fields,ZOOMOOV,Vast farming area with farming activities.,"Jolly Fields is a vast farming area where characters indulge in farming activities and conjures a farming process – dig, sow, harvest with the emphasis on cooperative teamwork. There is never a lack of PLAYtime with ZOOMOOV characters as they find activities at the fields with long funnels, spinning wheels, wheelbarrows, sorting bins, harvesting trees and take some time to find farmer’s friends – bugs!, worms! (“Eeks!”) Often from afar, we would hear them say “Heave Ho and MOOV” in jolly echos. Jolly Fields is a seeds-filled play pit, equipped with tools for kids between 1-7 years old, to immerse in farming-themed dig and play activities. Built on the concept of D.I.G – Discover, Imaginative play and Gross motor skills, Jolly Fields targets the development of social and motor skills through PLAY.",https://zoomoov.com/jolly-fields/,activity,https://zoomoov.com/jolly-fields/,False,From $24,$24 for 2 hours,0.0,24.0,24.0,1 to 7 years old,1.0,7.0,Available daily,"Weekday 11am – 8:30pm, Weekend: 10am – 10pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Jewel Changi Airport,,"farm, dig, motor",Singapore,Indoor Playground,"[{""url"": """", ""original_url"": ""https://zoomoov.com/wp-content/uploads/2018/12/3-JF-copy.jpg"", ""filename"": ""Jolly_Fields_1.png"", ""local_path"": ""events_output/indoor_add/images/Jolly_Fields_1.png"", ""source_credit"": ""zoomoov""}, {""url"": ""https://zoomoov.com/wp-content/uploads/2018/08/logo_jollyfieldstab.png"", ""original_url"": ""https://zoomoov.com/wp-content/uploads/2018/08/logo_jollyfieldstab.png"", ""filename"": ""Jolly_Fields_2.png"", ""local_path"": ""events_output/indoor_add/images/Jolly_Fields_2.png"", ""source_credit"": ""ZOOMOOV""}]",423.0,103.9897598,1.3602094,Changi,East Region,True,jollyfield.json
Jolly Fields Kallang Wave Mall – Level 1,Zoomoov,Seeds-filled play pit for kids between 1-7 years old.,"Jolly Fields is a seeds-filled play pit, equipped with tools for kids between 1-7 years old, to immerse in farming-themed dig and play activities. Built on the concept of D.I.G – Discover, Imaginative play and Gross motor skills, Jolly Fields targets the development of social and motor skills through PLAY. It offers a unique play experience centered around digging and imaginative play, promoting both social and motor skill development for young children in a safe and engaging environment. Perfect for children aged 1 to 7 years old.",https://zoomoov.com/jolly-fields/,activity,https://zoomoov.com/jolly-fields/,False,From $24,$24 for 2 hours,0.0,24.0,24.0,1 to 7 years old,1.0,7.0,Available daily,"Weekday: 12pm – 8:30pm, Weekend: 10am – 9:30pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Kallang Wave Mall,,"farm, dig, motor","1 Stadium Pl, Singapore 397628",Indoor Playground,"[{""url"": """", ""original_url"": ""https://zoomoov.com/wp-content/uploads/2018/12/3-JF-copy.jpg"", ""filename"": ""Jolly_Fields_Kallang_Wave_Mall___Level_1_1.jpg"", ""local_path"": ""events_output/indoor_add/images/user_uploads/Jolly_Fields_Kallang_Wave_Mall___Level_1_1.jpg"", ""source_credit"": ""zoomoov""}]",424.0,103.87376409999999,1.3026669,Kallang,Central Region,True,jollyfield.json
Jolly Fields VivoCity – Level 2,Zoomoov,Seeds-filled play pit for kids between 1-7 years old.,"Jolly Fields is a seeds-filled play pit, equipped with tools for kids between 1-7 years old, to immerse in farming-themed dig and play activities. Built on the concept of D.I.G – Discover, Imaginative play and Gross motor skills, Jolly Fields targets the development of social and motor skills through PLAY. It offers a unique play experience centered around digging and imaginative play, promoting both social and motor skill development for young children in a safe and engaging environment. Perfect for children aged 1 to 7 years old.",https://zoomoov.com/jolly-fields/,activity,https://zoomoov.com/jolly-fields/,False,From $24,$24 for 2 hours,0.0,24.0,24.0,1 to 7 years old,1.0,7.0,Available daily,"Weekday: 11am – 9pm, Weekend: 10:30am – 9pm",1970-01-01T00:00:00,2099-12-31T23:59:00,VivoCity,,"farm, dig, motor","1 HarbourFront Walk, Singapore 098585",Indoor Playground,"[{""url"": """", ""original_url"": ""https://zoomoov.com/wp-content/uploads/2018/12/3-JF-copy.jpg"", ""filename"": ""Jolly_Fields_VivoCity___Level_2_1.jpg"", ""local_path"": ""events_output/indoor_add/images/user_uploads/Jolly_Fields_VivoCity___Level_2_1.jpg"", ""source_credit"": ""zoomoov""}]",426.0,103.8231658,1.2647138999999998,Bukit Merah,Central Region,True,jollyfield.json
Concept of Play: Build & Craft Creative Skills,Kaboodle,Hone creative problem solving skills. Free play!,"Designed to tickle your child's inherit need to build with our odd shaped blocks to hone creative problem solving skills. Free play at its best. Just imagine and build it. Dive into expanding your child's creative juices by interacting with various kits, colouring crafts and materials. Express their imagination in a fun and guided environment. Art is fun and guided. The venue offers a space for children to engage in creative play through building with blocks and crafting with various materials, fostering imagination and problem-solving skills in a fun environment.",https://www.kaboodle.com.sg/webinar-registration,activity,https://www.kaboodle.com.sg/webinar-registration,False,From $15,"Below 3 years old: $15, 3 to 15 years  old: $20",0.0,15.0,20.0,15 years old and below,0.0,15.0,Available daily (except Tue),"​Wed - Sun: 9.30am - 5.30pm, Mon: 9.30am - 1pm (half day), Monday PH: 9.30am - 1.30pm",1970-01-01T00:00:00,2099-12-31T23:59:00,Kaboodle,,"creative play, building blocks, crafting, kids activities","88 E Coast Rd, #02-06, Singapore 423371",Indoor Playground,"[{""url"": ""https://static.wixstatic.com/media/f8beca_5f7ed3b211994bd78e0736bf68cf455f~mv2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_avif,quality_auto/f8beca_5f7ed3b211994bd78e0736bf68cf455f~mv2.jpg"", ""original_url"": ""https://static.wixstatic.com/media/f8beca_5f7ed3b211994bd78e0736bf68cf455f~mv2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_avif,quality_auto/f8beca_5f7ed3b211994bd78e0736bf68cf455f~mv2.jpg"", ""filename"": ""448_ConceptofPlayBuildCraftCreativeSkills_1.jpg"", ""local_path"": ""events_output/indoor_add/images/448_ConceptofPlayBuildCraftCreativeSkills_1.jpg"", ""source_credit"": ""Kaboodle""}, {""url"": ""https://static.wixstatic.com/media/f8beca_a8995feff4ac44f988215141497ae59c~mv2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_avif,quality_auto/f8beca_a8995feff4ac44f988215141497ae59c~mv2.jpg"", ""original_url"": ""https://static.wixstatic.com/media/f8beca_a8995feff4ac44f988215141497ae59c~mv2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_avif,quality_auto/f8beca_a8995feff4ac44f988215141497ae59c~mv2.jpg"", ""filename"": ""448_ConceptofPlayBuildCraftCreativeSkills_2.jpg"", ""local_path"": ""events_output/indoor_add/images/448_ConceptofPlayBuildCraftCreativeSkills_2.jpg"", ""source_credit"": ""Kaboodle""}, {""url"": ""https://static.wixstatic.com/media/f819f1_fb0eb8b1769e4f0fb9ff5f753a3fd745~mv2_d_4032_3024_s_4_2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_avif,quality_auto/f819f1_fb0eb8b1769e4f0fb9ff5f753a3fd745~mv2_d_4032_3024_s_4_2.jpg"", ""original_url"": ""https://static.wixstatic.com/media/f819f1_fb0eb8b1769e4f0fb9ff5f753a3fd745~mv2_d_4032_3024_s_4_2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_avif,quality_auto/f819f1_fb0eb8b1769e4f0fb9ff5f753a3fd745~mv2_d_4032_3024_s_4_2.jpg"", ""filename"": ""448_ConceptofPlayBuildCraftCreativeSkills_3.jpg"", ""local_path"": ""events_output/indoor_add/images/448_ConceptofPlayBuildCraftCreativeSkills_3.jpg"", ""source_credit"": ""Kaboodle""}, {""url"": ""https://static.wixstatic.com/media/f819f1_9bdf14746b004c3397bbc1cbd337a65d~mv2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_avif,quality_auto/f819f1_9bdf14746b004c3397bbc1cbd337a65d~mv2.jpg"", ""original_url"": ""https://static.wixstatic.com/media/f819f1_9bdf14746b004c3397bbc1cbd337a65d~mv2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_avif,quality_auto/f819f1_9bdf14746b004c3397bbc1cbd337a65d~mv2.jpg"", ""filename"": ""448_ConceptofPlayBuildCraftCreativeSkills_4.jpg"", ""local_path"": ""events_output/indoor_add/images/448_ConceptofPlayBuildCraftCreativeSkills_4.jpg"", ""source_credit"": ""Kaboodle""}]",448.0,103.90442000000002,1.3048689999999998,Marine Parade,Central Region,True,kaboodle.json
Kidztropic Cove Playground for Families,Kidztropic,"A community for families to play, learn and bond.","Kidztropic Cove is more than just a playground; it's a community for families. It provides a safe and welcoming environment where parents and children can come together to play, learn, and bond. The playground offers both structured and unstructured activities, encouraging children to learn through exploration, creativity, and imaginative play. With a variety of play areas, activities, and educational toys, Kidztropic is the perfect destination for families looking for quality time together. They offer free play, pretend play wonderland, workshops, learning journeys & private events.",https://www.kidztropic.com/kidztropic-cove,activity,https://www.kidztropic.com/kidztropic-cove,True,From $25,"Weekdays (except Mon): $25, Weekends & PH: $29 for 2 hours",0.0,25.0,29.0,7 years old and below,0.0,7.0,Available daily (except Mon),"Weekdays (except Mon): 2pm – 7pm,  Weekend/PH: 10am – 8pm",1970-01-01T00:00:00,1970-01-01T00:00:00,Kidztropic Cove,,"soft play, toddler, toy","407 Havelock Rd, #05-02, Singapore 169634",Indoor Playground,"[{""url"": ""https://static.wixstatic.com/media/e19cb1_e13516b633c345bba95cdd7ff852a3fa~mv2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_avif,quality_auto/e19cb1_e13516b633c345bba95cdd7ff852a3fa~mv2.jpg"", ""original_url"": ""https://static.wixstatic.com/media/e19cb1_e13516b633c345bba95cdd7ff852a3fa~mv2.jpg/v1/fill/w_2000,h_2000,al_c,q_100,usm_0.66_1.00_0.01,enc_avif,quality_auto/e19cb1_e13516b633c345bba95cdd7ff852a3fa~mv2.jpg"", ""filename"": ""Kidztropic_Cove_Playground_for_Families_1.jpg"", ""local_path"": ""events_output/indoor_add/images/Kidztropic_Cove_Playground_for_Families_1.jpg"", ""source_credit"": ""Kidztropic""}]",464.0,103.8358859,1.2876668999999998,Singapore River,Central Region,True,kidztropic.json
Rocketland,Rocketland Kids,Goodbye to Sensory Overload | Hello Healthy Stimulation!,"Rocketland Kids offers a low stimulating environment designed to promote healthy sensory experiences for children. Our venue provides a safe and engaging space where kids can explore and develop their senses without the overwhelming effects of sensory overload. We focus on creating a balanced atmosphere that encourages learning and play in a comfortable setting. Our facilities are designed to cater to a variety of sensory needs, ensuring that every child can enjoy a positive and enriching experience. We provide a unique space for children to explore and develop their senses in a healthy and balanced way.",https://www.rocketlandkids.com/,activity,https://www.rocketlandkids.com/,False,From $10,"$10 per pax, $19 for 2 pax",0.0,10.0,19.0,Suitable for all ages,0.0,99.0,24 Nov - 29 Nov,"24 November 2025 - 29 November 2025, 10am - 9pm",2025-11-24T10:00:00,2025-11-29T21:00:00,Aperia Mall,,"low stimulation, yellow, inflatable, bouncy castle","12 Kallang Ave, Singapore 339511",Indoor Playground,"[{""url"": ""https://www.rocketlandkids.com/cdn/shop/files/rocket_conceptdeck-10.jpg?v=1738932159&width=3840"", ""original_url"": ""https://www.rocketlandkids.com/cdn/shop/files/rocket_conceptdeck-10.jpg?v=1738932159&width=3840"", ""filename"": ""Rocketland_Kids_Venue_1.jpg"", ""local_path"": ""events_output/indoor_add/images/Rocketland_Kids_Venue_1.jpg"", ""source_credit"": ""Rocketland Kids""}, {""url"": """", ""original_url"": ""https://www.rocketlandkids.com/"", ""filename"": ""Rocketland_Kids_Venue_2.webp"", ""local_path"": ""events_output/indoor_add/images/Rocketland_Kids_Venue_2.webp"", ""source_credit"": ""rocketland""}, {""url"": """", ""original_url"": ""https://www.rocketlandkids.com/"", ""filename"": ""Rocketland_Kids_Venue_3.webp"", ""local_path"": ""events_output/indoor_add/images/Rocketland_Kids_Venue_3.webp"", ""source_credit"": ""rocketland""}, {""url"": """", ""original_url"": ""https://www.rocketlandkids.com/"", ""filename"": ""Rocketland_Kids_Venue_4.webp"", ""local_path"": ""events_output/indoor_add/images/Rocketland_Kids_Venue_4.webp"", ""source_credit"": ""rocketland""}, {""url"": """", ""original_url"": ""https://www.rocketlandkids.com/"", ""filename"": ""Rocketland_Kids_Venue_5.webp"", ""local_path"": ""events_output/indoor_add/images/Rocketland_Kids_Venue_5.webp"", ""source_credit"": ""rocketland""}]",455.0,103.8641669,1.3104580000000001,Kallang,Central Region,True,rocketland.json
